Territory,Claimants,Controller,Region,Population
Isfara Valley,Tajikistan;Kyrgyzstan,Tajikistan,Asia,N/A
Ambalat,Malaysia;Indonesia,Unknown,Asia,N/A
Kabaw,India;Myanmar,Unknown,Asia,N/A
Golan Heights,Lebanon;Israel;Syria,Israel,Asia,N/A
Green Line,Palestine;Israel,Israel,Asia,N/A
West Bank,Palestine;Israel,Unknown,Asia,N/A
East Jerusalem,Israel;Palestine,Unknown,Asia,N/A
Kalapani,Nepal;India,India,Asia,N/A
Susta River,Nepal;India,India,Asia,N/A
Antudanda,India;Nepal,India,Asia,N/A
Nawalparasi,India;Nepal,India,Asia,N/A
Artsvashen,Armenia;Azerbaijan,Unknown,Asia,N/A
Gegharkunik province,Azerbaijan;Armenia,Unknown,Asia,N/A
Karki,Armenia;Azerbaijan,Unknown,Asia,N/A
Nakhichevan Autonomous Republic,Azerbaijan;Armenia,Unknown,Asia,N/A
Yukhari Askipara,Azerbaijan;Armenia,Unknown,Asia,N/A
Barkhudarli,Armenia;Azerbaijan,Unknown,Asia,N/A
Qazakh Rayon,Azerbaijan;Armenia,Unknown,Asia,N/A
Yaradullu,Azerbaijan;Armenia,Unknown,Asia,N/A
Khuriya Muriya Islands,Oman;Yemen,Oman,Asia,N/A
Korean Peninsula,South Korea;North Korea,Unknown,Asia,N/A
Military Demarcation Line,South Korea;North Korea,Unknown,Asia,N/A
Sakhalin/Karafuto,Russia;Japan,Russia,Asia,N/A
"Kuril/Chishima, and South Kuril/Chishima Islands",Japan;Russia,Russia,Asia,N/A
Dokdo/Takeshima,Japan;North Korea;South Korea,South Korea,Asia,N/A
Naf River,Bangladesh;Myanmar,Unknown,Asia,N/A
Noktundo,South Korea;Russia,Russia,Asia,N/A
Pedra Branca,Malaysia;Singapore,Singapore,Asia,N/A
Singapore Strait,Malaysia;Singapore,Singapore,Asia,N/A
Point 20,Malaysia;Singapore,Singapore,Asia,N/A
O'Tangav,Laos;Cambodia,Laos,Asia,N/A
Stung Treng Province,Laos;Cambodia,Laos,Asia,N/A
Preah Vihear Temple,Cambodia;Thailand,Thailand,Asia,N/A
Khao Phra Wihan,Thailand;Cambodia,Thailand,Asia,N/A
Qaruh,Kuwait;Saudi Arabia,Kuwait,Asia,N/A
Umm al Maradim,Saudi Arabia;Kuwait,Kuwait,Asia,N/A
Sabah,Malaysia;Philippines,Malaysia,Asia,N/A
North Borneo,Philippines;Malaysia,Malaysia,Asia,N/A
Siachen Glacier,Pakistan;India,Unknown,Asia,N/A
Saltoro Ridge,India;Pakistan,Unknown,Asia,N/A
Sir Creek,Pakistan;India,Unknown,Asia,N/A
Three Pagodas Pass,Myanmar;Thailand,Unknown,Asia,N/A
Ukatnyy,Kazakhstan;Russia,Russia,Asia,N/A
Zhestky,Kazakhstan;Russia,Russia,Asia,N/A
Malyy Zhemchuzhnyy,Kazakhstan;Russia,Russia,Asia,N/A
Ungar-Too,Kyrgyzstan;Uzbekistan,Kyrgyzstan,Asia,N/A
Vozrozhdeniya Island,Kazakhstan;Uzbekistan,Unknown,Asia,N/A
Limbang District,Malaysia;Brunei,Malaysia,Asia,N/A
Tuzla Island,Russia;Ukraine,Unknown,Europe,N/A
Strait of Kerch,Russia;Ukraine,Unknown,Europe,N/A
Sarych,Russia;Ukraine,Unknown,Europe,N/A
Sea of Azov,Russia;Ukraine,Unknown,Europe,N/A
Crimea,Russia;Ukraine,Unknown,Europe,N/A
Imia/Kardak,Greece;Turkey,Unknown,Europe,N/A
Carlingford Lough,United Kingdom;Ireland,Unknown,Europe,N/A
Lough Foyle,United Kingdom;Ireland,Unknown,Europe,N/A
Gibraltar,United Kingdom;Spain,United Kingdom,Europe,N/A
Rockall,United Kingdom;Iceland;Ireland;Denmark,Unknown,Europe,N/A
Dollart bay,Germany;Netherlands,Unknown,Europe,N/A
Lake Constance,Austria;Switzerland;Germany,Unknown,Europe,N/A
Olivenza,Spain;Portugal,Spain,Europe,N/A
Vila Real,Spain;Portugal,Spain,Europe,N/A
Táliga,Portugal;Spain,Spain,Europe,N/A
Island of Šarengrad,Croatia;Serbia,Unknown,Europe,N/A
Island of Vukovar,Croatia;Serbia,Unknown,Europe,N/A
Gulf of Piran,Slovenia;Croatia,Unknown,Europe,N/A
Sveta Gera,Slovenia;Croatia,Unknown,Europe,N/A
Prevlaka,Montenegro;Croatia,Croatia,Europe,N/A
Sastavci,Serbia;Bosnia and Herzegovina,Serbia,Europe,N/A
Klek peninsula,Bosnia and Herzegovina;Croatia,Croatia,Europe,N/A
Veliki Školj,Croatia;Bosnia and Herzegovina,Croatia,Europe,N/A
Mali Školj,Croatia;Bosnia and Herzegovina,Croatia,Europe,N/A
Neum,Croatia;Bosnia and Herzegovina,Croatia,Europe,N/A
Bousignies-sur-Roc,Belgium;France,Unknown,Europe,N/A
Aves Island,Dominica;Venezuela,Venezuela,North and Central America,N/A
Bajo Nuevo Bank,United States;Colombia;Nicaragua;Jamaica,Colombia,North and Central America,N/A
Conejo Island,El Salvador;Honduras,Honduras,North and Central America,N/A
Navassa Island,Haiti;United States,United States,North and Central America,N/A
Sapodilla Cay,Belize;Honduras;Guatemala,Belize,North and Central America,N/A
Serranilla Bank,Nicaragua;Colombia;Honduras;United States,Colombia,North and Central America,N/A
Hans Island,Greenland;Denmark;Canada,Unknown,North and Central America,N/A
Matthew and Hunter Islands,France;Vanuatu,France,Oceania,N/A
Minerva Reefs,Tonga;Fiji,Tonga,Oceania,N/A
Swains Island,United States;Tokelau,United States,Oceania,N/A
Wake Island,United States;Marshall Islands,United States,Oceania,N/A
Guayana Esequiba,Guyana;Venezuela,Guyana,South America,N/A
Essequibo River,Venezuela;Guyana,Guyana,South America,N/A
Ankoko Island/Isla de Anacoco,Venezuela;Guyana,Guyana,South America,N/A
Arroyo de la Invernada,Brazil;Uruguay,Brazil,South America,N/A
Rincón de Artigas,Uruguay;Brazil,Brazil,South America,N/A
Vila Albornoz,Uruguay;Brazil,Brazil,South America,N/A
Falkland Islands,Argentina;United Kingdom,United Kingdom,South America,N/A
South Georgia and the South Sandwich Islands,United Kingdom;Argentina,United Kingdom,South America,N/A
French Guiana,Suriname;France,France,South America,N/A
Marouini River,Suriname;France,France,South America,N/A
Tigri Area,Suriname;Guyana,Guyana,South America,N/A
Courantyne River,Suriname;Guyana,Guyana,South America,N/A
Isla Brasilera/Ilha Brasileira,Uruguay;Brazil,Brazil,South America,N/A
Isla Suárez/Ilha de Guajará-mirim,Brazil;Bolivia,Bolivia,South America,N/A
Gulf of Venezuela,Colombia;Venezuela,Unknown,South America,N/A
Los Monjes Archipelago,Colombia;Venezuela,Unknown,South America,N/A
Southern Patagonian Ice Field,Argentina;Chile,Unknown,South America,N/A
Monte Fitz Roy,Argentina;Chile,Unknown,South America,N/A
Cerro Murallón,Argentina;Chile,Unknown,South America,N/A
Bakassi,Cameroon;Nigeria,Cameroon,Outside UN,N/A
Bhutanese enclaves,Republic of China;People's Republic of China;Bhutan,People's Republic of China,Outside UN,N/A
Darchen,People's Republic of China;Bhutan;Republic of China,People's Republic of China,Outside UN,N/A
Doklam,Republic of China;People's Republic of China;Bhutan,People's Republic of China,Outside UN,N/A
Demchok sector,India;Republic of China;People's Republic of China,Unknown,Outside UN,N/A
Depsang Plains,People's Republic of China;Republic of China;India,Unknown,Outside UN,N/A
Chumar,India;People's Republic of China;Republic of China,Unknown,Outside UN,N/A
Kaurik,People's Republic of China;Republic of China;India,Unknown,Outside UN,N/A
Shipki La,India;Republic of China;People's Republic of China,Unknown,Outside UN,N/A
Barahoti,Republic of China;India;People's Republic of China,Unknown,Outside UN,N/A
Jadhang,People's Republic of China;India;Republic of China,Unknown,Outside UN,N/A
Lapthal,People's Republic of China;Republic of China;India,Unknown,Outside UN,N/A
Nelang,India;Republic of China;People's Republic of China,Unknown,Outside UN,N/A
Pulam Sumda,Republic of China;India;People's Republic of China,Unknown,Outside UN,N/A
Sang,Republic of China;India;People's Republic of China,Unknown,Outside UN,N/A
James Shoal,Malaysia;Republic of China;People's Republic of China,Malaysia,Outside UN,N/A
Macclesfield Bank,Philippines;People's Republic of China;Republic of China,People's Republic of China,Outside UN,N/A
Mainland China,People's Republic of China;Republic of China,People's Republic of China,Outside UN,N/A
Hainan,People's Republic of China;Republic of China,People's Republic of China,Outside UN,N/A
Heixiazi,Republic of China;People's Republic of China;Russia,Unknown,Outside UN,N/A
Bolshoy Ussuriysky Island,Russia;Republic of China;People's Republic of China,Unknown,Outside UN,N/A
Hong Kong,Republic of China;People's Republic of China,People's Republic of China,Outside UN,N/A
Jiangxinpo,Myanmar;Republic of China,Myanmar,Outside UN,N/A
Kosovo,Republic of Kosovo;Serbia,Republic of Kosovo,Outside UN,N/A
Kula Kangri,Republic of China;People's Republic of China;Bhutan,Unknown,Outside UN,N/A
Haa District,Republic of China;People's Republic of China;Bhutan,Unknown,Outside UN,N/A
Kutuzov Island,Republic of China;Russia,Russia,Outside UN,N/A
Macau,People's Republic of China;Republic of China,People's Republic of China,Outside UN,N/A
Natuna Islands,Republic of China;People's Republic of China;Indonesia,People's Republic of China,Outside UN,N/A
Ladakh,India;Pakistan,Unknown,Outside UN,N/A
Outer Mongolia,Mongolia;Republic of China,Mongolia,Outside UN,N/A
Pamir Mountains,Tajikistan;Republic of China;People's Republic of China,Unknown,Outside UN,N/A
Paracel Islands,People's Republic of China;Republic of China;Vietnam,People's Republic of China,Outside UN,N/A
Ryanggang Province,Republic of China;South Korea;North Korea,North Korea,Outside UN,N/A
Rasŏn administrative division,Republic of China;North Korea;South Korea,North Korea,Outside UN,N/A
Scarborough Shoal,Philippines;Republic of China;People's Republic of China,People's Republic of China,Outside UN,N/A
Senkaku Islands,Japan;People's Republic of China;Republic of China,Japan,Outside UN,N/A
Shaksgam Valley,Republic of China;People's Republic of China;India,People's Republic of China,Outside UN,N/A
Sixty-Four Villages East of the Heilongjiang River,Russia;Republic of China,Russia,Outside UN,N/A
South Tibet,India;People's Republic of China;Republic of China,India,Outside UN,N/A
Spratly Islands,Malaysia;People's Republic of China;Philippines;Brunei;Republic of China;Vietnam,Unknown,Outside UN,N/A
Taiwan,People's Republic of China;Republic of China,Republic of China,Outside UN,N/A
Penghu,Republic of China;People's Republic of China,Republic of China,Outside UN,N/A
Kinmen,Republic of China;People's Republic of China,Republic of China,Outside UN,N/A
Matsu Islands,Republic of China;People's Republic of China,Republic of China,Outside UN,N/A
Pratas Island,People's Republic of China;Republic of China,Republic of China,Outside UN,N/A
Trans-Karakoram Tracts,Republic of China;People's Republic of China;India,People's Republic of China,Outside UN,N/A
Tuva,Russia;Republic of China,Russia,Outside UN,N/A
Wakhan Corridor,Islamic Republic of Afghanistan;Republic of China,Islamic Emirate of Afghanistan,Outside UN,N/A
Yalu River,South Korea;North Korea;Republic of China;People's Republic of China,Unknown,Outside UN,N/A
