Territory,Claimants,Controller,Region
Orange River,South Africa;Namibia,Unknown,Africa
Rukwanzi Island,Democratic Republic of Congo;Uganda,Unknown,Africa
Semliki River,Uganda;Democratic Republic of Congo,Unknown,Africa
Sindabezi Island,Zimbabwe;Zambia,Zambia,Africa
Socotra Archipelago,Somalia;Yemen,Unknown,Africa
Tromelin Island,Mauritius;France,France,Africa
Wadi Halfa,Sudan;Egypt,Egypt,Africa
Ashmore and Cartier Islands,Australia;Indonesia,Australia,Asia
Aarsal,Syria;Lebanon,Lebanon,Asia
Deir El Aachayer,Syria;Lebanon,Lebanon,Asia
Kfar Qouq,Syria;Lebanon,Lebanon,Asia
Mazraat Deir al-Ashayer,Syria;Lebanon,Lebanon,Asia
Qaa,Lebanon;Syria,Lebanon,Asia
Qasr,Lebanon;Syria,Lebanon,Asia
Tuffah,Syria;Lebanon,Lebanon,Asia
Shatt al-Arab,Iraq;Iran,Unknown,Asia
Abu Musa,Iran;United Arab Emirates,Iran,Asia
Greater and Lesser Tunbs,United Arab Emirates;Iran,Iran,Asia
Nagorno-Karabakh region,Azerbaijan;Armenia,Unknown,Asia
Syunik Province,Azerbaijan;Armenia,Azerbaijan,Asia
Azad Kashmir,India;Pakistan,,Asia
Gilgit-Baltistan,India;Pakistan,,Asia
Jammu and Kashmir,India;Pakistan,India,Asia
Aksai Chin,India;People's Republic of China;China;Republic of China,Unknown,Outside UN
Tawang,India;China,India,Asia
Arunachal Pradesh,China;India;People's Republic of China;Republic of China,Unknown,Outside UN
David Gareja monastery complex,Azerbaijan;Georgia,Unknown,Asia
Doi Lang,Thailand;Myanmar,Myanmar,Asia
Fasht Ad Dibal,Qatar;Bahrain,Unknown,Asia
Qit'at Jaradah,Bahrain;Qatar,Unknown,Asia
Fergana Valley,Tajikistan;Uzbekistan;Kyrgyzstan,Unknown,Asia
Isfara Valley,Kyrgyzstan;Tajikistan,Tajikistan,Asia
Ambalat,Malaysia;Indonesia,Unknown,Asia
Kabaw,Myanmar;India,Unknown,Asia
Golan Heights,Lebanon;Syria;Israel,Israel,Asia
Green Line,Israel;Palestine,Israel,Asia
West Bank,Palestine;Israel,Unknown,Asia
East Jerusalem,Palestine;Israel,Unknown,Asia
Kalapani,India;Nepal,India,Asia
Susta River,India;Nepal,India,Asia
Antudanda,India;Nepal,India,Asia
Nawalparasi,Nepal;India,India,Asia
Artsvashen,Armenia;Azerbaijan,Unknown,Asia
Gegharkunik province,Azerbaijan;Armenia,Unknown,Asia
Karki,Azerbaijan;Armenia,Unknown,Asia
Nakhichevan Autonomous Republic,Armenia;Azerbaijan,Unknown,Asia
Yukhari Askipara,Azerbaijan;Armenia,Unknown,Asia
Barkhudarli,Azerbaijan;Armenia,Unknown,Asia
Qazakh Rayon,Armenia;Azerbaijan,Unknown,Asia
Yaradullu,Azerbaijan;Armenia,Unknown,Asia
Khuriya Muriya Islands,Yemen;Oman,Oman,Asia
Korean Peninsula,North Korea;South Korea,Unknown,Asia
Military Demarcation Line,South Korea;North Korea,Unknown,Asia
Sakhalin/Karafuto,Japan;Russia,Russia,Asia
"Kuril/Chishima, and South Kuril/Chishima Islands",Russia;Japan,Russia,Asia
Dokdo/Takeshima,North Korea;Japan;South Korea,South Korea,Asia
Naf River,Myanmar;Bangladesh,Unknown,Asia
Noktundo,South Korea;Russia,Russia,Asia
Pedra Branca,Singapore;Malaysia,Singapore,Asia
Singapore Strait,Singapore;Malaysia,Singapore,Asia
Point 20,Malaysia;Singapore,Singapore,Asia
O'Tangav,Laos;Cambodia,Laos,Asia
Stung Treng Province,Laos;Cambodia,Laos,Asia
Preah Vihear Temple,Cambodia;Thailand,Thailand,Asia
Khao Phra Wihan,Thailand;Cambodia,Thailand,Asia
Qaruh,Saudi Arabia;Kuwait,Kuwait,Asia
Umm al Maradim,Saudi Arabia;Kuwait,Kuwait,Asia
Sabah,Malaysia;Philippines,Malaysia,Asia
North Borneo,Philippines;Malaysia,Malaysia,Asia
Siachen Glacier,Pakistan;India,Unknown,Asia
Saltoro Ridge,Pakistan;India,Unknown,Asia
Sir Creek,Pakistan;India,Unknown,Asia
Three Pagodas Pass,Thailand;Myanmar,Unknown,Asia
Ukatnyy,Russia;Kazakhstan,Russia,Asia
Zhestky,Russia;Kazakhstan,Russia,Asia
Malyy Zhemchuzhnyy,Russia;Kazakhstan,Russia,Asia
Ungar-Too,Kyrgyzstan;Uzbekistan,Kyrgyzstan,Asia
Vozrozhdeniya Island,Uzbekistan;Kazakhstan,Unknown,Asia
Limbang District,Brunei;Malaysia,Malaysia,Asia
Tuzla Island,Ukraine;Russia,Unknown,Europe
Strait of Kerch,Ukraine;Russia,Unknown,Europe
Sarych,Russia;Ukraine,Unknown,Europe
Sea of Azov,Ukraine;Russia,Unknown,Europe
Crimea,Russia;Ukraine,Unknown,Europe
Aegean dispute,Greece;Turkey,Unknown,Europe
Imia/Kardak,Turkey;Greece,Unknown,Europe
Mont Blanc summit dispute,Italy;France,Unknown,Europe
Carlingford Lough,Ireland;United Kingdom,Unknown,Europe
Lough Foyle,Ireland;United Kingdom,Unknown,Europe
Gibraltar,Spain;United Kingdom,United Kingdom,Europe
Rockall,Denmark;United Kingdom;Iceland;Ireland,Unknown,Europe
Dollart bay,Netherlands;Germany,Unknown,Europe
Lake Constance,Switzerland;Germany;Austria,Unknown,Europe
Olivenza,Portugal;Spain,Spain,Europe
Vila Real,Spain;Portugal,Spain,Europe
Táliga,Spain;Portugal,Spain,Europe
Island of Šarengrad,Croatia;Serbia,Unknown,Europe
Island of Vukovar,Serbia;Croatia,Unknown,Europe
Gulf of Piran,Croatia;Slovenia,Unknown,Europe
Sveta Gera,Slovenia;Croatia,Unknown,Europe
Prevlaka,Montenegro;Croatia,Croatia,Europe
Sastavci,Bosnia and Herzegovina;Serbia,Serbia,Europe
Klek peninsula,Bosnia and Herzegovina;Croatia,Croatia,Europe
Veliki Školj,Croatia;Bosnia and Herzegovina,Croatia,Europe
Mali Školj,Croatia;Bosnia and Herzegovina,Croatia,Europe
Neum,Croatia;Bosnia and Herzegovina,Croatia,Europe
Aves Island,Venezuela;Dominica,Venezuela,North America
Bajo Nuevo Bank,Nicaragua;United States;Colombia;Jamaica,Colombia,North America
Conejo Island,Honduras;El Salvador,Honduras,North America
Hans Island,Greenland;Denmark;Canada,Unknown,North America
Navassa Island,Haiti;United States,United States,North America
Sapodilla Cay,Belize;Honduras;Guatemala,Belize,North America
Serranilla Bank,Honduras;Colombia;Nicaragua;United States,Colombia,North America
Matthew Island and Hunter Island,Vanuatu;France;New Caledonia,France,Oceania
Minerva Reefs,Fiji;Tonga,Tonga,Oceania
Swains Island,Tokelau;United States,,Oceania
Wake Island,United States;Marshall Islands,,Oceania
Guayana Esequiba,Venezuela;Guyana,Guyana,South America
Essequibo River,Venezuela;Guyana,Guyana,South America
Ankoko Island/Isla de Anacoco,Venezuela;Guyana,Guyana,South America
Arroyo de la Invernada,Uruguay;Brazil,Brazil,South America
Rincón de Artigas,Uruguay;Brazil,Brazil,South America
Vila Albornoz,Uruguay;Brazil,Brazil,South America
Falkland Islands,United Kingdom;Argentina,United Kingdom,South America
South Georgia and the South Sandwich Islands,United Kingdom;Argentina,United Kingdom,South America
French Guiana,France;Suriname,France,South America
Marouini River,France;Suriname,France,South America
Tigri Area,Guyana;Suriname,Guyana,South America
Courantyne River,Guyana;Suriname,Guyana,South America
Isla Brasilera/Ilha Brasileira,Uruguay;Brazil,Brazil,South America
Isla Suárez/Ilha de Guajará-mirim,Brazil;Bolivia,Bolivia,South America
Gulf of Venezuela,Colombia;Venezuela,Unknown,South America
Los Monjes Archipelago,Colombia;Venezuela,Unknown,South America
Southern Patagonian Ice Field,Chile;Argentina,Unknown,South America
Monte Fitz Roy,Chile;Argentina,Unknown,South America
Cerro Murallón,Chile;Argentina,Unknown,South America
South Tibet,People's Republic of China;Republic of China;China;India,Unknown,Outside UN
Bakassi,Cameroon;Nigeria,Cameroon,Outside UN
Bhutanese enclaves,Republic of China;People's Republic of China;Bhutan,People's Republic of China,Outside UN
Tibet,Bhutan;Republic of China;People's Republic of China,People's Republic of China,Outside UN
Darchen,Republic of China;Bhutan;People's Republic of China,People's Republic of China,Outside UN
Doklam,People's Republic of China;Bhutan;Republic of China,People's Republic of China,Outside UN
Demchok sector,India;People's Republic of China;Republic of China,Unknown,Outside UN
Depsang Plains,Republic of China;People's Republic of China;India,Unknown,Outside UN
Chumar,People's Republic of China;Republic of China;India,Unknown,Outside UN
Kaurik,People's Republic of China;Republic of China;India,Unknown,Outside UN
Shipki La,India;Republic of China;People's Republic of China,Unknown,Outside UN
Barahoti,Republic of China;India;People's Republic of China,Unknown,Outside UN
Jadhang,India;Republic of China;People's Republic of China,Unknown,Outside UN
Lapthal,People's Republic of China;India;Republic of China,Unknown,Outside UN
Nelang,Republic of China;People's Republic of China;India,Unknown,Outside UN
Pulam Sumda,Republic of China;People's Republic of China;India,Unknown,Outside UN
Sang,India;Republic of China;People's Republic of China,Unknown,Outside UN
James Shoal,Republic of China;People's Republic of China;Malaysia,Malaysia,Outside UN
Macclesfield Bank,Philippines;Republic of China;People's Republic of China,People's Republic of China,Outside UN
Mainland China,Republic of China;People's Republic of China,People's Republic of China,Outside UN
Hainan,People's Republic of China;Republic of China,People's Republic of China,Outside UN
Heixiazi,People's Republic of China;Russia;Republic of China,Unknown,Outside UN
Bolshoy Ussuriysky Island,Russia;Republic of China;People's Republic of China,Unknown,Outside UN
Hong Kong,People's Republic of China;Republic of China,People's Republic of China,Outside UN
Jiangxinpo,Myanmar;Republic of China,Myanmar,Outside UN
Kosovo,Republic of Kosovo;Serbia,Republic of Kosovo,Outside UN
Kula Kangri,Bhutan;People's Republic of China;Republic of China,Unknown,Outside UN
Haa District,Republic of China;People's Republic of China;Bhutan,Unknown,Outside UN
Kutuzov Island,Russia;Republic of China,Russia,Outside UN
Macau,People's Republic of China;Republic of China,People's Republic of China,Outside UN
Natuna Islands,Republic of China;Indonesia;People's Republic of China,People's Republic of China,Outside UN
Ladakh,India;Pakistan,Unknown,Outside UN
Outer Mongolia,Republic of China;Mongolia,Mongolia,Outside UN
Pamir Mountains,People's Republic of China;Tajikistan;Republic of China,Unknown,Outside UN
Paracel Islands,People's Republic of China;Republic of China;Vietnam,People's Republic of China,Outside UN
Ryanggang Province,South Korea;North Korea;Republic of China,North Korea,Outside UN
Rasŏn administrative division,Republic of China;North Korea;South Korea,North Korea,Outside UN
Scarborough Shoal,Republic of China;People's Republic of China;Philippines,People's Republic of China,Outside UN
Senkaku Islands,Japan;People's Republic of China;Republic of China,Japan,Outside UN
Shaksgam Valley,Republic of China;India;People's Republic of China,People's Republic of China,Outside UN
Sixty-Four Villages East of the Heilongjiang River,Republic of China;Russia,Russia,Outside UN
Spratly Islands,Brunei;Malaysia;Republic of China;Vietnam;People's Republic of China;Philippines,Unknown,Outside UN
Taiwan,People's Republic of China;Republic of China,Republic of China,Outside UN
Penghu,Republic of China;People's Republic of China,Republic of China,Outside UN
Kinmen,People's Republic of China;Republic of China,Republic of China,Outside UN
Matsu Islands,Republic of China;People's Republic of China,Republic of China,Outside UN
Pratas Island,People's Republic of China;Republic of China,Republic of China,Outside UN
Trans-Karakoram Tracts,Republic of China;People's Republic of China;India,People's Republic of China,Outside UN
Tuva,Russia;Republic of China,Russia,Outside UN
Wakhan Corridor,Republic of China;Islamic Republic of Afghanistan,,Outside UN
Yalu River,South Korea;Republic of China;North Korea;People's Republic of China,Unknown,Outside UN
